businesstype,year,predicted_count,ci_lower,ci_upper
apartment house *historic*,2025,41.457386968683565,1.2217738515030834,91.41162214514237
apartment house *historic*,2026,42.3230768508891,0.0,95.12774122067242
apartment house *historic*,2027,43.18876673309466,0.0,98.88675506226892
apartment house *historic*,2028,44.054456615300126,0.0,102.45039977166479
apartment house *historic*,2029,44.92014649750563,0.0,106.34403923803423
personal services *historic*,2025,9.712983219733783,5.350783793298605,15.3580356314769
personal services *historic*,2026,9.846124282288446,5.197169772834651,15.756434049195727
personal services *historic*,2027,9.979265344843101,5.0177693785949655,16.15642712658581
personal services *historic*,2028,10.112406407397765,4.862896265459149,16.55642020397595
personal services *historic*,2029,10.24554746995243,4.720748968126752,16.956413281366032
therapeutic touch technique *historic*,2025,2.716117375527364,0.5368336790726161,6.06494685591506
therapeutic touch technique *historic*,2026,2.7415928884187175,0.4059888067148443,6.281509646184008
therapeutic touch technique *historic*,2027,2.767068401310073,0.29358044691301616,6.481167020660883
therapeutic touch technique *historic*,2028,2.7925439142014294,0.15856154696701458,6.680824395137757
therapeutic touch technique *historic*,2029,2.8180194270927803,0.023542647020983104,6.8831057255175265
massage therapist *historic*,2025,11.312255954791581,6.369260117020665,15.271010696354551
massage therapist *historic*,2026,11.5687273973951,6.234112626770894,15.721300500259668
massage therapist *historic*,2027,11.825198839998619,6.1798167698089035,16.138999630216265
massage therapist *historic*,2028,12.081670282602147,6.189203613542983,16.55669876017281
massage therapist *historic*,2029,12.338141725205656,6.212071000565163,16.974397890129467
marine services *historic*,2025,0.8186835636924232,0.0,1.0
marine services *historic*,2026,0.7956259195322726,0.0,1.0
marine services *historic*,2027,0.7725682753721216,0.0,1.0
marine services *historic*,2028,0.7495106312119698,0.0,1.0
marine services *historic*,2029,0.7264529870518196,0.0,1.0
artist *historic*,2025,1.2396570500925936,0.0,2.056818181818187
artist *historic*,2026,1.2303168923104755,0.0,2.1086395202020216
artist *historic*,2027,1.2209767345283584,0.0,2.160231523464063
artist *historic*,2028,1.2116365767462403,0.0,2.216404374577576
artist *historic*,2029,1.202296418964123,0.0,2.2779958463135968
plumber & sprinkler contractor *historic*,2025,1.5519632875393818,0.0,3.5005805370587906
plumber & sprinkler contractor *historic*,2026,1.5306684057199276,0.0,3.5924567455573264
plumber & sprinkler contractor *historic*,2027,1.5093735239004777,0.0,3.679800971482967
plumber & sprinkler contractor *historic*,2028,1.4880786420810255,0.0,3.76658937301737
plumber & sprinkler contractor *historic*,2029,1.4667837602615732,0.0,3.8654106155388552
window cleaner *historic*,2025,0.7575480621862781,0.37782648880894526,0.9896519659936214
window cleaner *historic*,2026,0.717235879825737,0.31792316147081967,0.9811537702329246
window cleaner *historic*,2027,0.6769236974651955,0.2554193471972955,0.9759968416896947
window cleaner *historic*,2028,0.6366115151046535,0.1894436963894034,0.9708399131464648
window cleaner *historic*,2029,0.5962993327441135,0.12346804558149638,0.9656829846032348
locksmith *historic*,2025,1.3067083143999045,0.0,6.501537698412707
locksmith *historic*,2026,1.2624170272753938,0.0,6.776041666666698
locksmith *historic*,2027,1.2181257401508825,0.0,7.050545634920635
locksmith *historic*,2028,1.1738344530263665,0.0,7.325049603174626
locksmith *historic*,2029,1.1295431659018578,0.0,7.569677419354887
educational *historic*,2025,12.189723237630297,3.7958624680090938,18.642581372278965
educational *historic*,2026,12.76665473795772,3.9201886235136985,19.59783815176912
educational *historic*,2027,13.343586238285166,4.04451477901833,20.58257351379038
educational *historic*,2028,13.920517738612585,4.170623971062229,21.57468006032725
educational *historic*,2029,14.497449238940023,4.302711371839746,22.561217843881266
auto repairs *historic*,2025,0.0,0.0,1.8467860848409938
auto repairs *historic*,2026,0.0,0.0,1.844955136450312
auto repairs *historic*,2027,0.0,0.0,1.8468858583971604
auto repairs *historic*,2028,0.0,0.0,1.8593586428706554
auto repairs *historic*,2029,0.0,0.0,1.8682255315331504
manufacturer *historic*,2025,4.632925902641296,0.0,32.733045826591784
manufacturer *historic*,2026,4.136642374711823,0.0,33.49978364763623
manufacturer *historic*,2027,3.640358846782345,0.0,34.27003035391374
manufacturer *historic*,2028,3.14407531885288,0.0,35.04027706019113
manufacturer *historic*,2029,2.6477917909234066,0.0,35.810523766468535
homecraft *historic*,2025,8.241281432812118,1.8645681191487196,15.038580810235466
homecraft *historic*,2026,8.489590687185608,1.8023245184752907,15.577202563786617
homecraft *historic*,2027,8.737899941559109,1.7405936247414986,16.06396397628906
homecraft *historic*,2028,8.986209195932602,1.7192915749430833,16.55072538879162
homecraft *historic*,2029,9.234518450306105,1.6022640646234672,17.140504912081006
power/ pressure washing *historic*,2025,0.7885061660863866,0.0,1.0633820531476523
power/ pressure washing *historic*,2026,0.763108499660034,0.0,1.0509720362053476
power/ pressure washing *historic*,2027,0.7377108332336795,0.0,1.039626013871451
power/ pressure washing *historic*,2028,0.7123131668073257,0.0,1.0319041638121322
power/ pressure washing *historic*,2029,0.6869155003809706,0.0,1.0281104894572568
secondary suite - permanent *historic*,2025,62.003861276830044,37.870701588759445,97.40725840998107
secondary suite - permanent *historic*,2026,64.2800860095733,38.58793797805104,101.16910648822842
secondary suite - permanent *historic*,2027,66.55631074231657,39.32685435507405,105.53859451678036
secondary suite - permanent *historic*,2028,68.83253547505983,40.17613187364225,109.41036229815305
secondary suite - permanent *historic*,2029,71.1087602078031,41.230537740875796,113.28213007952621
photographer *historic*,2025,5.170402512352158,2.6061147034818672,8.276533068724198
photographer *historic*,2026,5.226387876325761,2.471015556549092,8.455180780130382
photographer *historic*,2027,5.282373240299356,2.3597363412756907,8.625563201111968
photographer *historic*,2028,5.338358604272952,2.240131061400586,8.79794340847987
photographer *historic*,2029,5.394343968246552,2.124406410030257,8.970738847129299
cosmetologist *historic*,2025,7.1830384878237075,0.0,16.346224039835842
cosmetologist *historic*,2026,7.081477328418795,0.0,16.807656690735215
cosmetologist *historic*,2027,6.979916169013892,0.0,17.176157080741643
cosmetologist *historic*,2028,6.878355009608984,0.0,17.699060644738307
cosmetologist *historic*,2029,6.776793850204067,0.0,18.284496247811994
animal services *historic*,2025,0.5778717816014862,0.07208598490453327,1.0
animal services *historic*,2026,0.5087718006593678,0.0,1.0
animal services *historic*,2027,0.4396718197172488,0.0,1.0
animal services *historic*,2028,0.3705718387751284,0.0,1.0
animal services *historic*,2029,0.3014718578330094,0.0,1.0
real estate dealer *historic*,2025,4.933397902308223,0.0,13.36074919967196
real estate dealer *historic*,2026,4.66852811051024,0.0,14.09979668997036
real estate dealer *historic*,2027,4.403658318712257,0.0,14.770413530044276
real estate dealer *historic*,2028,4.138788526914269,0.0,15.038545419411172
real estate dealer *historic*,2029,3.8739187351162827,0.0,15.306677308778006
employment agency *historic*,2025,4.913874479060506,1.1320270759360573,8.679649802729616
employment agency *historic*,2026,5.07436998497496,1.1245269679929695,9.006851856941534
employment agency *historic*,2027,5.234865490889421,1.1170268600498818,9.363794179417535
employment agency *historic*,2028,5.395360996803884,1.1095267521067957,9.741340737674884
employment agency *historic*,2029,5.555856502718329,1.0953461308332384,10.097120704630976
multiple dwelling *historic*,2025,7.972454390846526,1.4135008696934943,14.52600360129455
multiple dwelling *historic*,2026,8.206711135028725,1.3560215033397889,15.050650929797476
multiple dwelling *historic*,2027,8.440967879210923,1.2961023851076163,15.582996284312355
multiple dwelling *historic*,2028,8.675224623393119,1.231529959278646,16.127291129081428
multiple dwelling *historic*,2029,8.90948136757532,1.1669575334496756,16.671585973850494
restaurant class 1 *historic*,2025,45.87815930858572,16.865814535210564,71.10953367796247
restaurant class 1 *historic*,2026,46.61994192778259,15.241765704584253,74.87885444450716
restaurant class 1 *historic*,2027,47.36172454697943,14.7063288301181,76.62009393068811
restaurant class 1 *historic*,2028,48.10350716617623,13.582672790366162,78.37706833514217
restaurant class 1 *historic*,2029,48.84528978537312,12.079733802618636,80.32277055715464
telecommunications *historic*,2025,1.9649427781590687,0.26406250000002274,5.616740088105757
telecommunications *historic*,2026,1.9726750242442848,0.11562500000002274,5.784140969162991
telecommunications *historic*,2027,1.9804072703295026,0.0,5.951541850220281
telecommunications *historic*,2028,1.9881395164147184,0.0,6.118942731277514
telecommunications *historic*,2029,1.9958717624999394,0.0,6.286343612334804
secondhand dealer *historic*,2025,7.942862982690878,1.7384276207612601,25.210130640445982
secondhand dealer *historic*,2026,8.023442484037,1.3936225353004592,26.032971492349134
secondhand dealer *historic*,2027,8.104021985383117,1.0748854840044406,26.85581234425234
secondhand dealer *historic*,2028,8.184601486729237,0.7296093870026941,27.67865319615549
secondhand dealer *historic*,2029,8.26518098807535,0.3843332900008935,28.501494048058696
warehouse operator - non-food,2025,6.228149141850048,2.368795737242629,10.080791092468393
warehouse operator - non-food,2026,6.429849415059062,2.394294137248147,10.648149997955457
warehouse operator - non-food,2027,6.631549688268058,2.390839438775758,11.105835559417285
warehouse operator - non-food,2028,6.833249961477058,2.387026950381908,11.465510527482364
warehouse operator - non-food,2029,7.034950234686065,2.380955142865523,11.825185495547556
residential/commercial *historic*,2025,12.47227953160121,3.346773588698775,24.791986182393156
